,Make,Series,Model,Manufacturer code,First registration date,Year of manufacture,Mileage (read),Chassis number,Engine number,Gearbox number,Matching numbers,Previous owners,Body style,Power (kW/hp),Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
0,Chevrolet,Corvette,Corvette Stingray,C3 Serie II,01/1977,1977,"69,000 km",Not provided,CKZ,Not provided,Yes,3,Coupe (Targa),221/300 (Factory: 154/210),5735,8,2,Left (LHD),Manual,Not provided,Rear,Disc,Disc,Petrol,"32,634"
1,Lancia,Delta,Delta HF 4WD,831,02/1987,1987,"189,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,121/165,1981,4,4,Left (LHD),Manual,Not provided,4WD,Not provided,Not provided,Petrol,"28,631"
2,Volkswagen,Golf,Golf Mk II 1.3,Typ 19E,05/1985,1985,"107,000 km",Not provided,Not provided,Not provided,Yes,1,Saloon,40/55,1272,4,5,Left (LHD),Manual,Not provided,Front,Disc,Drum,Petrol,"2,524"
3,FIAT,1100,1100-103 TV,Series II,05/1954,1954,"1,000 km",Not provided,Not provided,Not provided,Yes,Not provided,Saloon,37/50,1089,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,rice on request
4,Jaguar,XJ S,XJR-S V12 Le Mans,Typ 11,05/1989,1989,"87,500 mls",Not provided,Not provided,Not provided,Yes,Not provided,Coupe,217/295,5343,12,2,Right (RHD),Automatic,3,Rear,Disc,Disc,Petrol,"25,237"
5,FIAT,1500,1500 L,Tipo 105,08/1963,1963,"68,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,59/80,1481,4,4,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"5,134"
6,Innocenti,Mini,Mini Cooper 1000,Serie II,01/1972,1972,"4,200 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),35/48,998,4,2,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Petrol,"12,096"
7,Volkswagen,Beetle,Beetle 1303,Typ 17,01/1974,1974,"68,000 km",Not provided,Not provided,Not provided,Yes,2,Convertible,25/34,1285,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"13,837"
8,Alfa Romeo,GTV,2000 GT Veloce,Y3,01/1972,1972,"1,000 km",Not provided,Not provided,Not provided,No,Not provided,Coupe,96/131,1975,4,2,Left (LHD),Manual,5,Rear,Disc,Not provided,Petrol,"30,458"
9,FIAT,Appia,126,116E,01/1973,1973,"41,600 km",Not provided,Not provided,Not provided,Yes,1,Saloon (2-doors),18/24,652,2,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"6,005"
10,Lancia,850,Appia C10,Model 68,04/1958,1958,"59,218 km",Not provided,Not provided,Not provided,No,Not provided,Saloon,32/43,1090,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"10,443"
11,Abarth,Golf,Fiat 850 TC,W 126,01/1960,1960,"56,000 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (Small Car),38/52,847,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"14,359"
12,Volkswagen,595,Golf Mk I GTI 1.6,8N,06/1981,1981,"104,379 km",Not provided,Not provided,Not provided,No,Not provided,Saloon (3-doors),81/110,1588,4,3,Left (LHD),Manual,Not provided,Front,Not provided,Not provided,Not provided,"19,145"
13,Abarth,Esprit,Fiat 595,W 201,02/1972,1967,100 km,Not provided,Not provided,Not provided,No,Not provided,Saloon (2-doors),20/27,850 (Factory: 594),4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"23,496"
14,Lotus,XM,Esprit SE,Serie I (Tipo AM 101/S),07/1989,1989,"31,715 km",Not provided,Not provided,Not provided,Yes,1,Coupe,197/268,2174,4,2,Left (LHD),Manual,Not provided,Rear,Not provided,Not provided,Petrol,"52,214"
