,Make,Model,Year of manufacture,Kilometer,Previous owners,Body style,Horsepower,Cubic capacity (ccm),Cylinders,Doors,Steering,Gearbox,Gears,Transmission,Front breaks,Rear breaks,Fuel type,Price (£)
24,Audi,TT 1.8 T quattro,2000,99800,3,Coupe,251,1781,4,2,Left (LHD),Manual,6,4WD,Disc,Disc,Petrol,14785
69,Alfa Romeo,2000 Spider Veloce,1979,82000,6,Convertible,127,1962,4,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,21321
78,Volvo,780 Bertone 2.8 V6,1990,201000,3,Coupe,147,2849,6,2,Left (LHD),Automatic,4,Rear,Disc,Disc,Petrol,23061
79,Ferrari,308 GTSi (US),1981,60000,3,Convertible (Targa),205,2906,8,2,Left (LHD),Manual,5,Rear,Disc,Disc,Petrol,126183
96,Mercedes-Benz,250 SE,1966,161000,5,Coupe,150,2496,6,2,Left (LHD),Manual,4,Rear,Disc,Disc,Petrol,46122
166,Jaguar,XKR,2003,110600,2,Coupe,396,4196,8,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,21705
168,Aston Martin,V12 Vantage AMR,2018,1247,2,Coupe,603,5935,12,2,Right (RHD),Manual,7,Rear,Disc,Disc,Petrol,174002
179,FIAT,500 L,1971,5000,2,Saloon (2-doors),18,499,2,2,Left (LHD),Manual,4,Rear,Drum,Drum,Petrol,10443
201,Triumph,TR 6,1971,41882,4,Convertible (Roadster),98,2498,6,2,Left (LHD),Manual,4,Rear,Disc,Drum,Petrol,21669
204,Jaguar,XK 150 3.4 S DHC,1959,43000,2,Convertible,200,4200,6,2,Right (RHD),Manual,5,Rear,Disc,Disc,Petrol,104341
214,Bentley,Arnage R,2005,119019,3,Saloon (4-doors),456,6750,8,4,Right (RHD),Automatic,4,Rear,Disc,Disc,Petrol,34895
249,Porsche,911 GT2,2008,62850,1,Coupe,530,3600,6,2,Left (LHD),Manual,6,Rear,Disc,Disc,Petrol,145328
254,Alfa Romeo,4C,2016,14000,1,Coupe,241,1742,4,2,Left (LHD),Automatic,6,Rear,Disc,Disc,Petrol,83542
256,Porsche,911 Carrera,2013,124500,2,Coupe,350,3436,6,2,Left (LHD),Automatic,7,Rear,Disc,Disc,Petrol,60829
